personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
George Kaiser,9900,7000,False,79,Energy,United States,M
Luis Carlos Sarmiento,9900,12000,True,89,Finance & Investments,Colombia,M
Jan Koum,9800,9000,True,46,Technology,United States,M
Azim Premji,9800,18000,False,76,Technology,India,M
Finn Rausing,9800,6000,False,67,Food & Beverage,United Kingdom,M
Jorn Rausing,9800,7000,False,62,Food & Beverage,United Kingdom,M
Kirsten Rausing,9800,6000,False,69,Food & Beverage,United Kingdom,F
Wang Laisheng,9800,2000,True,57,Technology,China,M
John Collison,9500,1000,True,31,Technology,United States,M
Patrick Collison,9500,1000,True,33,Technology,United States,M
Gordon Moore,9500,8000,True,93,Technology,United States,M
Wang Laichun,9500,2000,True,54,Technology,China,F
Graeme Hart,9400,10000,True,66,Finance & Investments,New Zealand,M
Nathan Blecharczyk,9200,3000,True,38,Technology,United States,M
James Dyson,9200,5000,True,74,Manufacturing,United Kingdom,M
Ivan Glasenberg,9100,6000,True,65,Metals & Mining,Switzerland,M
Jay Y. Lee,9100,7000,False,53,Diversified,South Korea,M
Ann Walton Kroenke,9000,6000,False,73,Fashion & Retail,United States,F
Friedhelm Loh,8900,3000,False,75,Manufacturing,Germany,M
Xavier Niel,8900,8000,True,54,Telecom,France,M
Michael Otto,8900,11000,False,78,Fashion & Retail,Germany,M
Hui Ka Yan,8800,30000,True,63,Real Estate,China,M
Pauline MacMillan Keinath,8800,7000,False,88,Food & Beverage,United States,F
Li Ge,8800,2000,True,55,Healthcare,China,M
Kushal Pal Singh,8800,6000,False,90,Real Estate,India,M
Zong Qinghou,8800,9000,True,76,Food & Beverage,China,M
Cai Kui,8700,4000,True,59,Real Estate,China,M
Charles Ergen,8700,13000,True,69,Media & Entertainment,United States,M
Bernard Marcus,8700,5000,True,92,Fashion & Retail,United States,M
"Ernest Garcia, II.",8600,2000,True,64,Automotive,United States,M
George Soros,8600,8000,True,91,Finance & Investments,United States,M
Ernesto Bertarelli,8500,8000,False,56,Healthcare,Switzerland,M
Tamara Gustavson,8500,4000,False,60,Service,United States,F
Steven Rales,8400,5000,True,71,Manufacturing,United States,M
Joseph Tsai,8400,9000,True,58,Technology,Hong Kong,M
Carl Bennet,8300,4000,True,70,Finance & Investments,Sweden,M
Robert Kraft,8300,6000,True,80,Sports,United States,M
Chairul Tanjung,8300,3000,True,59,Diversified,Indonesia,M
Manuel Villar,8300,3000,True,72,Real Estate,Philippines,M
Jean-Michel Besnier,8200,5000,False,54,Food & Beverage,France,M
Marie Besnier Beauvalot,8200,5000,False,41,Food & Beverage,France,F
Gustaf Douglas,8200,3000,True,84,Diversified,Sweden,M
Kjeld Kirk Kristiansen,8200,5000,False,74,Manufacturing,Denmark,M
Sofie Kirk Kristiansen,8200,5000,False,46,Manufacturing,Denmark,F
Stephen Ross,8200,7000,True,81,Real Estate,United States,M
Marc Benioff,8100,4000,True,57,Technology,United States,M
Francis Choi,8100,6000,True,74,Real Estate,Hong Kong,M
Nancy Walton Laurie,8100,5000,False,70,Fashion & Retail,United States,F
Georg Schaeffler,8100,25000,False,57,Automotive,Germany,M
Yao Liangsong,8100,5000,True,57,Manufacturing,China,M
George Roberts,8000,5000,True,78,Finance & Investments,United States,M
Michael Rubin,8000,3000,True,49,Fashion & Retail,United States,M
Patrick Ryan,8000,2000,True,84,Finance & Investments,United States,M
Christopher Hohn,7900,3000,True,55,Finance & Investments,United Kingdom,M
Marijke Mars,7900,5000,False,57,Food & Beverage,United States,F
Pamela Mars,7900,5000,False,61,Food & Beverage,United States,F
Valerie Mars,7900,5000,False,63,Food & Beverage,United States,F
Victoria Mars,7900,5000,False,65,Food & Beverage,United States,F
Georg Stumpf,7900,2000,True,49,Diversified,Austria,M
Christy Walton,7900,7000,False,73,Fashion & Retail,United States,F
Giorgio Armani,7800,8000,True,87,Fashion & Retail,Italy,M
Jim Kennedy,7800,13000,False,74,Media & Entertainment,United States,M
German Khan,7800,9000,True,60,Energy,United Kingdom,M
Liang Wengen,7800,4000,True,65,Manufacturing,China,M
Blair Parry-Okeden,7800,13000,False,71,Media & Entertainment,Australia,F
Ding Shijia,7700,2000,True,58,Fashion & Retail,China,M
Karel Komarek,7700,3000,True,53,Gambling & Casinos,Switzerland,M
Henry Kravis,7700,5000,True,78,Finance & Investments,United States,M
Frederik Paulsen,7700,7000,False,71,Healthcare,Switzerland,M
Nassef Sawiris,7700,6000,False,61,Construction & Engineering,Egypt,M
Xu Shihui,7700,11000,True,64,Food & Beverage,China,M
Rahel Blocher,7600,5000,False,46,Manufacturing,Switzerland,F
Shahid Khan,7600,7000,True,71,Automotive,United States,M
Magdalena Martullo-Blocher,7600,5000,False,53,Manufacturing,Switzerland,F
Jeffery Hildebrand,7500,3000,True,63,Energy,United States,M
Michael Kim,7500,1000,True,58,Finance & Investments,South Korea,M
Richard Kinder,7500,6000,True,77,Energy,United States,M
David Shaw,7500,6000,True,71,Finance & Investments,United States,M
John Malone,7400,8000,True,81,Media & Entertainment,United States,M
Mike Adenuga,7300,5000,True,68,Diversified,Nigeria,M
"Paul Tudor Jones, II.",7300,4000,True,67,Finance & Investments,United States,M
Yuri Milner,7300,3000,True,60,Finance & Investments,United States,M
Henry Samueli,7300,3000,True,67,Technology,United States,M
Patrick Soon-Shiong,7300,7000,True,69,Healthcare,United States,M
Michael Kadoorie,7200,7000,False,80,Energy,Hong Kong,M
