rank,personName,age,finalWorth,category,country,gender_F,gender_M
289,David Cheriton,66,6000,8,49,0,1
289,Ma Jianrong,54,6000,17,26,0,1
289,Whitney MacMillan,88,6000,16,20,0,1
289,Dan Olsson,71,6000,13,18,0,1
289,Vivek Chaand Sehgal,61,6000,7,65,0,1
289,Teh Hong Piow,87,6000,10,8,0,1
296,Maria Asuncion Aramburuzabala,54,5000,16,37,1,0
296,Ralph Dommermuth,54,5000,8,62,0,1
296,Frank Lowy,87,5000,14,65,0,1
296,Wolfgang Marguerre,76,5000,1,62,0,1
296,Marijke Mars,53,5000,16,20,1,0
296,Pamela Mars,57,5000,16,20,1,0
296,Valerie Mars,59,5000,16,20,1,0
296,Victoria Mars,61,5000,16,20,1,0
305,David & Frederick Barclay,84,5000,13,3,0,1
305,"John Gokongwei, Jr.",91,5000,13,45,0,1
305,Kwon Hyuk-Bin,44,5000,8,53,0,1
305,Nancy Walton Laurie,66,5000,17,20,1,0
305,Lin Yu-Ling,81,5000,14,24,0,1
305,Robert Rowling,64,5000,2,20,0,1
305,Dennis Washington,83,5000,6,20,0,1
305,Yao Liangsong,53,5000,12,26,0,1
305,Zhang Jindong,54,5000,17,26,0,1
315,Juan Francisco Beckmann Vidal,78,5000,16,37,0,1
315,David Sun,66,5000,8,20,0,1
315,John Tu,76,5000,8,20,0,1
315,Martin Viessmann,64,5000,12,62,0,1
315,Stef Wertheimer,91,5000,12,30,0,1
315,Hansjoerg Wyss,83,5000,1,70,0,1
321,James Dyson,70,5000,12,3,0,1
321,Laurence Graff,79,5000,17,3,0,1
321,Jen-Hsun Huang,55,5000,8,20,0,1
321,Charles Johnson,85,5000,10,20,0,1
321,Jerry Jones,75,5000,9,20,0,1
321,Kei Hoi Pang,52,5000,14,26,0,1
321,Lee Shin Cheng,79,5000,12,8,0,1
321,Richard LeFrak,72,5000,14,20,0,1
321,Shigenobu Nagamori,73,5000,12,27,0,1
321,Steven Rales,66,5000,12,20,0,1
321,Friede Springer,75,5000,5,62,1,0
321,Yeung Kin-man,53,5000,12,1,0,1
334,Rinat Akhmetov,51,5000,0,34,0,1
334,Shari Arison,60,5000,11,30,1,0
334,Dannine Avara,54,5000,2,20,1,0
334,Rahel Blocher,42,5000,12,70,1,0
334,Andrew Currie,62,5000,12,3,0,1
334,Scott Duncan,35,5000,2,20,0,1
334,Milane Frantz,48,5000,2,20,1,0
334,Diane Hendricks,71,5000,3,20,1,0
334,Magdalena Martullo-Blocher,49,5000,12,70,1,0
334,Hiroshi Mikitani,52,5000,17,27,0,1
334,Gabe Newell,55,5000,4,20,0,1
334,Pan Sutong,54,5000,14,1,0,1
334,Anthony Pratt,57,5000,12,65,0,1
334,John Reece,61,5000,12,3,0,1
334,Randa Williams,56,5000,2,20,1,0
334,Zhang Bangxin,38,5000,11,26,0,1
334,Zhang Shiping,71,5000,0,26,0,1
351,Jean-Michel Besnier,50,5000,16,36,0,1
351,Marie Besnier Beauvalot,37,5000,16,36,1,0
351,Richard DeVos,92,5000,11,20,0,1
351,Michael Herz,74,5000,17,62,0,1
351,Wolfgang Herz,67,5000,17,62,0,1
351,Kjeld Kirk Kristiansen,70,5000,12,57,0,1
351,Sofie Kirk Kristiansen,42,5000,12,57,1,0
351,Lin Xiucheng,62,5000,8,26,0,1
351,Margarita Louis-Dreyfus,55,5000,16,70,1,0
351,George Roberts,74,5000,10,20,0,1
351,"Edward Roski, Jr.",79,5000,14,20,0,1
365,Mike Adenuga,64,5000,13,42,0,1
365,Jim Davis,74,5000,12,20,0,1
365,David Filo,51,5000,8,20,0,1
365,Pansy Ho,55,5000,4,1,1,0
365,Henry Kravis,74,5000,10,20,0,1
365,Emanuele (Lino) Saputo,81,5000,16,49,0,1
365,Xu Chuanhua,83,5000,12,26,0,1
372,Alexander Abramov,59,5000,0,35,0,1
372,Israel Englander,69,5000,10,20,0,1
372,Frits Goldschmeding,84,5000,11,56,0,1
372,Marian Ilitch,85,5000,16,20,1,0
372,Bruce Kovner,73,5000,10,20,0,1
372,George Lucas,73,5000,5,20,0,1
372,Kalanithi Maran,52,5000,5,44,0,1
372,Elisabeth Mohn,77,5000,5,62,1,0
372,"Robert Rich, Jr.",77,5000,16,20,0,1
372,Wang Chuanfu,52,5000,7,26,0,1
382,Maria Fernanda Amorim,83,5000,13,6,1,0
382,Pyotr Aven,62,5000,2,35,0,1
382,Bernard Marcus,88,5000,17,20,0,1
382,Pedro Moreira Salles,58,5000,13,17,0,1
382,Frederick Smith,73,5000,6,20,0,1
382,Ronda Stryker,63,5000,1,20,1,0
388,Richard Branson,67,5000,13,3,0,1
388,Subhash Chandra,67,5000,5,44,0,1
388,Denise Coates,50,5000,4,3,1,0
388,Martha Ingram,82,5000,5,20,1,0
388,Law Kar Po,69,5000,14,1,0,1
388,Joe Lewis,81,5000,10,3,0,1
388,Gabriella Meister,69,5000,12,62,1,0
388,Fernando Roberto Moreira Salles,71,5000,13,17,0,1
388,Joao Moreira Salles,56,5000,13,17,0,1
388,Walther Moreira Salles Junior,61,5000,10,17,0,1
388,Pankaj Patel,64,5000,1,44,0,1
388,Karen Pritzker,60,5000,11,20,1,0
388,Thomas Schmidheiny,72,5000,3,70,0,1
388,Vichai Srivaddhanaprabha,60,5000,17,54,0,1
388,Keiichiro Takahara,86,5000,12,27,0,1
388,M.A. Yusuff Ali,62,5000,17,44,0,1
404,Robert Bass,69,4000,2,20,0,1
404,Marc Benioff,53,4000,8,20,0,1
404,Chung Mong-Koo,79,4000,7,53,0,1
404,Charles Dolan,91,4000,5,20,0,1
404,Ray Lee Hunt,74,4000,2,20,0,1
404,Liu Yonghao,66,4000,11,26,0,1
404,John Overdeck,48,4000,10,20,0,1
404,Ajay Piramal,62,4000,1,44,0,1
404,"Enrique Razon, Jr.",58,4000,6,45,0,1
404,Sumner Redstone,94,4000,5,20,0,1
404,Reinhold Schmieding,63,4000,1,20,0,1
404,David Siegel,56,4000,10,20,0,1
404,Andrei Skoch,52,4000,0,35,0,1
404,Yu Yong,57,4000,10,26,0,1
404,Sam Zell,76,4000,14,20,0,1
404,Zhou Jianping,57,4000,17,26,0,1
422,Garrett Camp,39,4000,8,49,0,1
422,Bubba Cathy,63,4000,16,20,0,1
422,Dan Cathy,65,4000,16,20,0,1
422,Fu Liquan,50,4000,8,26,0,1
422,Mikhail Gutseriev,60,4000,2,35,0,1
422,"Rupert Johnson, Jr.",77,4000,10,20,0,1
422,Travis Kalanick,41,4000,8,20,0,1
422,Andrei Kozitsyn,57,4000,0,35,0,1
422,Horst Paulmann,83,4000,17,4,0,1
422,Julio Ponce Lerou,72,4000,0,4,0,1
422,Trevor Rees-Jones,66,4000,2,20,0,1
422,Mark Scheinberg,44,4000,4,49,0,1
422,Jeffrey Skoll,53,4000,8,20,0,1
422,Murat Ulker,58,4000,16,13,0,1
422,Daniel Ziff,46,4000,10,20,0,1
422,Dirk Ziff,53,4000,10,20,0,1
422,Robert Ziff,51,4000,10,20,0,1
441,Juergen Blickle,71,4000,12,62,0,1
441,Bernard Broermann,74,4000,1,62,0,1
441,Clive Calder,71,4000,5,3,0,1
441,Stanley Druckenmiller,64,4000,10,20,0,1
441,Ted Lerner,92,4000,14,20,0,1
441,Li Shuirong,61,4000,12,26,0,1
441,Lim Kok Thay,66,4000,4,8,0,1
