Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
237.0,Sandra Ortega Mera,49.0,Zara,Fashion & Retail,Female,Europe,Spain,,,6.9,
237.0,Jim Pattison,89.0,diversified,Diversified,Male,North America,Canada,,,6.9,"Founder, Chairman and CEO, Jim Pattison Group"
237.0,Michael Platt,49.0,hedge funds,Finance and Investments,Male,Europe,United Kingdom,,,6.9,"Founder, BlueCrest Capital Management"
242.0,Chan Laiwa,77.0,real estate,Real Estate,Female,Asia,China,,,6.8,
242.0,David Green,76.0,retail,Fashion & Retail,Male,North America,United States,OK,Oklahoma,6.8,"CEO, Hobby Lobby"
242.0,Hank & Doug Meijer,,supermarkets,Fashion & Retail,Male,North America,United States,MI,Michigan,6.8,
242.0,Dmitry Rybolovlev,51.0,fertilizer,Manufacturing,Male,Asia,Russia,,,6.8,
242.0,Tsai Eng-Meng,61.0,"food, beverages",Food and Beverage,Male,Asia,Taiwan,,,6.8,
242.0,Andreas von Bechtolsheim,62.0,Google,Technology,Male,Europe,Germany,CA,California,6.8,"Cofounder, Chief Development Officer and Chairman, Arista Networks"
248.0,Oleg Deripaska,50.0,"aluminum, utilities",Metals & Mining,Male,Asia,Russia,,,6.7,
248.0,Liu Yongxing,69.0,diversified,Service,Male,Asia,China,,,6.7,"Chairman, East Hope Group"
248.0,Ludwig Merckle,53.0,pharmaceuticals,Finance and Investments,Male,Europe,Germany,,,6.7,
251.0,Brian Acton,46.0,WhatsApp,Technology,Male,North America,United States,CA,California,6.6,"Cofounder, WhatsApp Inc."
251.0,John Grayken,61.0,private equity,Finance and Investments,Male,Europe,Ireland,,,6.6,
251.0,Ann Walton Kroenke,69.0,Walmart,Fashion & Retail,Female,North America,United States,MO,Missouri,6.6,
251.0,Augusto & Giorgio Perfetti,,candy,Food and Beverage,Male,Europe,Italy,,,6.6,
251.0,Finn Rausing,63.0,packaging,Food and Beverage,Male,Europe,Sweden,,,6.6,
