personname,finalworth_2022,finalworth_2018,selfmade
Tse Ping,5700,3000,True
Tilman Fertitta,5600,4000,True
Prajogo Pangestu,5600,2000,False
"Edward Roski, Jr.",5600,5000,False
Teddy Sagi,5600,3000,True
Thomas Straumann,5600,2000,False
David Sun,5600,5000,True
John Tu,5600,5000,True
Alexander Abramov,5500,5000,True
Neil Bluhm,5500,3000,True
Don Hankey,5500,2000,True
Jane Lauder,5500,2000,False
Gwendolyn Sontheim Meyer,5500,4000,False
John Reece,5500,5000,True
Eric Smidt,5500,2000,True
Viktor Vekselberg,5500,14000,True
Ronald Wanek,5500,2000,True
John Brown,5400,3000,True
Andrew Currie,5400,5000,True
Tom Golisano,5400,3000,True
Hui Wing Mau,5400,8000,True
Daniel Kretinsky,5400,2000,True
Joe Lewis,5400,5000,True
Shigenobu Nagamori,5400,5000,True
Kjell Inge Rokke,5400,3000,True
Wang Wenjing,5400,2000,True
Samuel Yin,5400,3000,False
M.A. Yusuff Ali,5400,5000,True
Denise Coates,5300,5000,True
Ken Fisher,5300,3000,True
Sumet Jiaravanon,5300,4000,False
Nathan Kirsh,5300,4000,True
Rudolf Maag,5300,3000,True
Gary Rollins,5300,4000,False
Mark Scheinberg,5300,4000,True
Shen Guojun,5300,2000,True
Chip Wilson,5300,2000,True
James Chambers,5200,8000,False
Chen Fashu,5200,2000,True
Jaran Chiaravanont,5200,4000,False
Ravi Jaipuria,5200,2000,False
Koon Poh Keong,5200,2000,True
Li Liangbin,5200,1000,True
Liang Feng,5200,1000,True
Katharine Rayner,5200,8000,False
Carlos Rodriguez-Pastor,5200,3000,False
Margaretta Taylor,5200,8000,False
You Xiaoping,5200,1000,True
Robert Bass,5100,4000,False
Jeff Greene,5100,3000,True
Montri Jiaravanont,5100,4000,False
Elizabeth Johnson,5100,3000,False
Hiroshi Mikitani,5100,5000,True
Isaac Perlmutter,5100,4000,True
Michael Pieper,5100,4000,True
Tsai Hong-tu,5100,2000,False
Richard Tsai,5100,3000,False
Shari Arison,5000,5000,False
Alain Bouchard,5000,3000,True
"Austen Cargill, II.",5000,4000,False
"James Cargill, II.",5000,4000,False
Leonid Fedun,5000,6000,True
Johann Graf,5000,8000,True
Huang Chulong,5000,1000,True
Huang Yi,5000,2000,True
Vladimir Kim,5000,3000,True
Ronald Lauder,5000,4000,False
Marianne Liebmann,5000,4000,False
Tobi Lutke,5000,1000,True
Thomas Pritzker,5000,4000,False
Peter Thiel,5000,2000,True
Hansjoerg Wyss,5000,5000,True
Zhang Tao,5000,1000,True
Daniel Ziff,5000,4000,False
Dirk Ziff,5000,4000,False
Robert Ziff,5000,4000,False
"Robert Rich, Jr.",4900,5000,False
Thomas Schmidheiny,4900,5000,False
Erik Selin,4900,1000,True
Daniel Tsai,4900,3000,False
Dona Bertarelli,4800,4000,False
Hu Baifan,4800,2000,True
Bidzina Ivanishvili,4800,4000,True
Theo Mueller,4800,4000,False
"Julian Robertson, Jr.",4800,4000,True
Marc Rowan,4800,3000,True
Frank Wang,4800,3000,True
Yang Shaopeng,4800,1000,True
Leonid Boguslavsky,4700,1000,True
Richard Branson,4700,5000,True
Pierre Chen,4700,2000,True
Scott Cook,4700,3000,True
Mark Cuban,4700,3000,True
Martin Haefner,4700,3000,False
Johnelle Hunt,4700,3000,True
Lai Meisong,4700,3000,True
Richard Li,4700,4000,False
Mangal Prabhat Lodha,4700,3000,True
Igor Olenicoff,4700,4000,True
Mark Shoen,4700,3000,False
Murat Ulker,4700,4000,False
Yu Yong,4700,4000,True
Bubba Cathy,4600,4000,False
Dan Cathy,4600,4000,False
Jason Chang,4600,2000,True
Bruce Flatt,4600,1000,True
Masatoshi Ito,4600,3000,True
Viatcheslav Kantor,4600,3000,True
Richard White,4600,1000,True
Michael Ashley,4500,3000,True
Ron Baron,4500,2000,True
Bert Beveridge,4500,2000,True
David Bonderman,4500,2000,True
Guo Guangchang,4500,8000,True
Daryl Katz,4500,3000,True
Trevor Rees-Jones,4500,4000,True
Robert Rowling,4500,5000,False
Mark Stevens,4500,2000,True
Gustav Magnar Witzoe,4500,1000,False
Yeung Kin-man,4500,5000,True
Andrej Babis,4400,4000,True
Barry Diller,4400,3000,True
Marian Ilitch,4400,5000,True
Edwin Leong,4400,3000,True
N.R. Narayana Murthy,4400,2000,True
Pyotr Aven,4300,5000,True
Rick Caruso,4300,3000,True
Jim Davis,4300,2000,True
Walter P.J. Droege,4300,10000,True
Dan Friedkin,4300,4000,False
Antti Herlin,4300,4000,False
W. Herbert Hunt,4300,2000,False
Jason Jiang,4300,6000,True
"Rupert Johnson, Jr.",4300,4000,False
Chris Larsen,4300,4000,True
Richard Schulze,4300,4000,True
Paul Singer,4300,2000,True
Mark Walter,4300,2000,True
Ty Warner,4300,2000,True
Rinat Akhmetov,4200,5000,True
Bernard Broermann,4200,4000,True
Daniel D'Aniello,4200,2000,True
Piero Ferrari,4200,2000,False
Carlo Fidani,4200,2000,False
Yakir Gabay,4200,3000,True
Jaime Gilinski Bacal,4200,3000,False
Bertil Hult,4200,4000,True
Lee Yin Yee,4200,1000,True
Daniel Loeb,4200,3000,True
Ajay Piramal,4200,4000,False
Lynsi Snyder,4200,1000,False
Peter Spuhler,4200,2000,True
Kerry Stokes,4200,3000,True
Jon Stryker,4200,2000,False
Vincent Viola,4200,2000,True
Romesh T. Wadhwani,4200,3000,True
Senapathy Gopalakrishnan,4100,1000,True
James Irving,4100,8000,False
Samuel Tak Lee,4100,4000,False
Thai Lee,4100,1000,True
Eric Lefkofsky,4100,2000,True
Thomas Secunda,4100,2000,True
Shaul Shani,4100,3000,True
E. Joe Shoen,4100,2000,False
Steven Udvar-Hazy,4100,3000,True
Russ Weiner,4100,4000,True
Somphote Ahunai,4000,3000,True
Patrizio Bertelli,4000,3000,True
Rakesh Gangwal,4000,3000,True
Michael Herz,4000,5000,False
Wolfgang Herz,4000,5000,False
Arthur Irving,4000,3000,False
Marc Ladreit de Lacharriere,4000,3000,True
Patrick Lee,4000,4000,True
Gilles Martin,4000,2000,True
Akio Nitori,4000,4000,True
Daniel Och,4000,3000,True
Pankaj Patel,4000,5000,False
John Paulson,4000,6000,True
Miuccia Prada,4000,3000,False
Jean (Gigi) Pritzker,4000,3000,False
Juan Roig,4000,4000,False
David Rubenstein,4000,2000,True
Howard Schultz,4000,2000,True
Dan Snyder,4000,2000,True
Jerzy Starak,4000,1000,True
Kelcy Warren,4000,4000,True
Hubert Burda,3900,3000,False
Francesco Gaetano Caltagirone,3900,2000,True
"Stephen Mandel, Jr.",3900,2000,True
Gabe Newell,3900,5000,True
Maja Oeri,3900,2000,False
Neil Shen,3900,1000,True
Helmut Sohmen,3900,1000,False
Donald Sterling,3900,3000,True
"William Conway, Jr.",3800,2000,True
Luca Garavoglia,3800,2000,False
Jimmy Haslam,3800,3000,False
Timur Kulibaev,3800,3000,True
Dinara Kulibaeva,3800,3000,False
Michael Milken,3800,3000,True
Denis O'Brien,3800,4000,True
James Packer,3800,4000,False
Leena Tewari,3800,2000,False
Yitzhak Tshuva,3800,3000,True
Zeng Fangqin,3800,3000,True
Zhou Bajin,3800,1000,True
William Berkley,3700,1000,True
John Catsimatidis,3700,3000,True
Che Jianxing,3700,4000,True
Gustavo Denegri,3700,2000,True
Charles Edelstenne,3700,1000,True
Reed Hastings,3700,2000,True
"Amos Hostetter, Jr.",3700,3000,True
Friedrich Knapp,3700,1000,True
William Lauder,3700,1000,False
Li Guoqiang,3700,1000,True
Low Tuck Kwong,3700,1000,True
Anthony Pritzker,3700,3000,False
Ira Rennert,3700,3000,True
"Bernard Saul, II.",3700,3000,False
Steven Spielberg,3700,3000,True
Wong Luen Hei,3700,1000,True
Cho Tak Wong,3600,2000,True
Charles Cohen,3600,3000,False
Martin Ebner,3600,3000,True
David Filo,3600,5000,True
Miguel Fluxa Rossello,3600,4000,False
John Henry,3600,2000,True
Hu Kaijun,3600,2000,True
Peter Kellogg,3600,3000,False
James Leprino,3600,3000,False
Iskander Makhmudov,3600,7000,True
Daniel Mate,3600,2000,True
Aristotelis Mistakidis,3600,2000,True
Arturo Moreno,3600,2000,True
Nan Cunhui,3600,1000,True
