rank,personName,age,finalWorth,category,country,gender
217,Quek Leng Chan,76,7000,Diversified,Malaysia,M
217,Wang Wenxue,50,7000,Real Estate,China,M
222,John Doerr,66,7000,Technology,United States,M
222,Patrick Drahi,54,7000,Telecom,France,M
222,Ricardo Salinas Pliego,62,7000,Fashion & Retail,Mexico,M
222,Suh Kyung-Bae,55,7000,Fashion & Retail,South Korea,M
228,Pollyanna Chu,59,7000,Finance & Investments,Hong Kong,F
228,John Fredriksen,73,7000,Logistics,Cyprus,M
228,Goh Cheng Liang,90,7000,Manufacturing,Singapore,M
228,Sri Prakash Lohia,65,7000,Manufacturing,Indonesia,M
228,Lu Zhiqiang,65,7000,Real Estate,China,M
228,Jorn Rausing,58,7000,Food & Beverage,Sweden,M
228,Johann Rupert,67,7000,Fashion & Retail,South Africa,M
228,Jacques Saade,81,7000,Logistics,France,M
228,Wu Shaoxun,62,7000,Food & Beverage,China,M
237,Leonid Fedun,61,6000,Energy,Russia,M
237,Kim Jung-Ju,50,6000,Technology,South Korea,M
237,Sandra Ortega Mera,49,6000,Fashion & Retail,Spain,F
237,Jim Pattison,89,6000,Diversified,Canada,M
237,Michael Platt,49,6000,Finance & Investments,United Kingdom,M
242,Chan Laiwa,77,6000,Real Estate,China,F
242,David Green,76,6000,Fashion & Retail,United States,M
242,Dmitry Rybolovlev,51,6000,Manufacturing,Russia,M
242,Tsai Eng-Meng,61,6000,Food & Beverage,Taiwan,M
242,Andreas von Bechtolsheim,62,6000,Technology,Germany,M
248,Oleg Deripaska,50,6000,Metals & Mining,Russia,M
248,Liu Yongxing,69,6000,Service,China,M
248,Ludwig Merckle,53,6000,Finance & Investments,Germany,M
251,Brian Acton,46,6000,Technology,United States,M
251,John Grayken,61,6000,Finance & Investments,Ireland,M
251,Ann Walton Kroenke,69,6000,Fashion & Retail,United States,F
251,Finn Rausing,63,6000,Food & Beverage,Sweden,M
251,Kirsten Rausing,65,6000,Food & Beverage,Sweden,F
251,Odd Reitan,66,6000,Fashion & Retail,Norway,M
251,Nassef Sawiris,57,6000,Construction & Engineering,Egypt,M
251,Wee Cho Yaw,89,6000,Finance & Investments,Singapore,M
251,Aloys Wobben,66,6000,Energy,Germany,M
261,Leon Black,66,6000,Finance & Investments,United States,M
261,Ivan Glasenberg,61,6000,Metals & Mining,Switzerland,M
261,John Paulson,62,6000,Finance & Investments,United States,M
261,Wei Jianjun,54,6000,Automotive,China,M
265,Francis Choi,70,6000,Real Estate,Hong Kong,M
265,Erivan Haub,85,6000,Fashion & Retail,Germany,M
265,Jason Jiang,45,6000,Media & Entertainment,China,M
265,Suleiman Kerimov,51,6000,Finance & Investments,Russia,M
265,Pang Kang,62,6000,Food & Beverage,China,M
265,David Shaw,66,6000,Finance & Investments,United States,M
265,Kushal Pal Singh,86,6000,Real Estate,India,M
265,John A. Sobrato,78,6000,Real Estate,United States,M
274,Acharya Balkrishna,45,6000,Food & Beverage,India,M
274,Guenther Fielmann,78,6000,Healthcare,Germany,M
274,Daniel Gilbert,56,6000,Finance & Investments,United States,M
274,Antonia Johnson,74,6000,Diversified,Sweden,F
274,Vikram Lal,76,6000,Automotive,India,M
274,Akira Mori,81,6000,Real Estate,Japan,M
274,Maria-Elisabeth Schaeffler-Thumann,76,6000,Automotive,Germany,F
281,Albert Frere,92,6000,Finance & Investments,Belgium,M
281,Richard Kinder,73,6000,Energy,United States,M
281,Robert Kraft,76,6000,Sports,United States,M
281,Ralph Lauren,78,6000,Fashion & Retail,United States,M
281,Bruno Schroder,85,6000,Finance & Investments,United Kingdom,M
281,Nusli Wadia,74,6000,Food & Beverage,India,M
287,Pierre Bellon,88,6000,Service,France,M
287,Les Wexner,80,6000,Fashion & Retail,United States,M
289,Benu Gopal Bangur,86,6000,Manufacturing,India,M
289,David Cheriton,66,6000,Technology,Canada,M
289,Ma Jianrong,54,6000,Fashion & Retail,China,M
289,Whitney MacMillan,88,6000,Food & Beverage,United States,M
289,Dan Olsson,71,6000,Diversified,Sweden,M
289,Vivek Chaand Sehgal,61,6000,Automotive,Australia,M
289,Teh Hong Piow,87,6000,Finance & Investments,Malaysia,M
296,Maria Asuncion Aramburuzabala,54,5000,Food & Beverage,Mexico,F
296,Ralph Dommermuth,54,5000,Technology,Germany,M
296,Frank Lowy,87,5000,Real Estate,Australia,M
296,Wolfgang Marguerre,76,5000,Healthcare,Germany,M
296,Marijke Mars,53,5000,Food & Beverage,United States,F
296,Pamela Mars,57,5000,Food & Beverage,United States,F
296,Valerie Mars,59,5000,Food & Beverage,United States,F
296,Victoria Mars,61,5000,Food & Beverage,United States,F
305,David & Frederick Barclay,84,5000,Diversified,United Kingdom,M
305,"John Gokongwei, Jr.",91,5000,Diversified,Philippines,M
305,Kwon Hyuk-Bin,44,5000,Technology,South Korea,M
305,Nancy Walton Laurie,66,5000,Fashion & Retail,United States,F
305,Lin Yu-Ling,81,5000,Real Estate,Taiwan,M
305,Robert Rowling,64,5000,Energy,United States,M
305,Dennis Washington,83,5000,Logistics,United States,M
305,Yao Liangsong,53,5000,Manufacturing,China,M
305,Zhang Jindong,54,5000,Fashion & Retail,China,M
315,Juan Francisco Beckmann Vidal,78,5000,Food & Beverage,Mexico,M
315,David Sun,66,5000,Technology,United States,M
315,John Tu,76,5000,Technology,United States,M
315,Martin Viessmann,64,5000,Manufacturing,Germany,M
315,Stef Wertheimer,91,5000,Manufacturing,Israel,M
315,Hansjoerg Wyss,83,5000,Healthcare,Switzerland,M
321,James Dyson,70,5000,Manufacturing,United Kingdom,M
321,Laurence Graff,79,5000,Fashion & Retail,United Kingdom,M
321,Jen-Hsun Huang,55,5000,Technology,United States,M
321,Charles Johnson,85,5000,Finance & Investments,United States,M
321,Jerry Jones,75,5000,Sports,United States,M
321,Kei Hoi Pang,52,5000,Real Estate,China,M
321,Lee Shin Cheng,79,5000,Manufacturing,Malaysia,M
321,Richard LeFrak,72,5000,Real Estate,United States,M
321,Shigenobu Nagamori,73,5000,Manufacturing,Japan,M
321,Steven Rales,66,5000,Manufacturing,United States,M
321,Friede Springer,75,5000,Media & Entertainment,Germany,F
321,Yeung Kin-man,53,5000,Manufacturing,Hong Kong,M
334,Rinat Akhmetov,51,5000,Metals & Mining,Ukraine,M
334,Shari Arison,60,5000,Service,Israel,F
334,Dannine Avara,54,5000,Energy,United States,F
334,Rahel Blocher,42,5000,Manufacturing,Switzerland,F
334,Andrew Currie,62,5000,Manufacturing,United Kingdom,M
334,Scott Duncan,35,5000,Energy,United States,M
334,Milane Frantz,48,5000,Energy,United States,F
334,Diane Hendricks,71,5000,Construction & Engineering,United States,F
334,Magdalena Martullo-Blocher,49,5000,Manufacturing,Switzerland,F
334,Hiroshi Mikitani,52,5000,Fashion & Retail,Japan,M
334,Gabe Newell,55,5000,Gambling & Casinos,United States,M
334,Pan Sutong,54,5000,Real Estate,Hong Kong,M
334,Anthony Pratt,57,5000,Manufacturing,Australia,M
334,John Reece,61,5000,Manufacturing,United Kingdom,M
334,Randa Williams,56,5000,Energy,United States,F
334,Zhang Bangxin,38,5000,Service,China,M
334,Zhang Shiping,71,5000,Metals & Mining,China,M
351,Jean-Michel Besnier,50,5000,Food & Beverage,France,M
351,Marie Besnier Beauvalot,37,5000,Food & Beverage,France,F
351,Richard DeVos,92,5000,Service,United States,M
351,Michael Herz,74,5000,Fashion & Retail,Germany,M
351,Wolfgang Herz,67,5000,Fashion & Retail,Germany,M
351,Kjeld Kirk Kristiansen,70,5000,Manufacturing,Denmark,M
351,Sofie Kirk Kristiansen,42,5000,Manufacturing,Denmark,F
351,Lin Xiucheng,62,5000,Technology,China,M
351,Margarita Louis-Dreyfus,55,5000,Food & Beverage,Switzerland,F
351,George Roberts,74,5000,Finance & Investments,United States,M
351,"Edward Roski, Jr.",79,5000,Real Estate,United States,M
365,Mike Adenuga,64,5000,Diversified,Nigeria,M
365,Jim Davis & Family,74,5000,Manufacturing,United States,M
365,David Filo,51,5000,Technology,United States,M
365,Pansy Ho,55,5000,Gambling & Casinos,Hong Kong,F
365,Henry Kravis,74,5000,Finance & Investments,United States,M
365,Emanuele (Lino) Saputo,81,5000,Food & Beverage,Canada,M
365,Xu Chuanhua,83,5000,Manufacturing,China,M
372,Alexander Abramov,59,5000,Metals & Mining,Russia,M
372,Israel Englander,69,5000,Finance & Investments,United States,M
372,Frits Goldschmeding,84,5000,Service,Netherlands,M
372,Marian Ilitch,85,5000,Food & Beverage,United States,F
372,Bruce Kovner,73,5000,Finance & Investments,United States,M
372,George Lucas,73,5000,Media & Entertainment,United States,M
372,Kalanithi Maran,52,5000,Media & Entertainment,India,M
372,Elisabeth Mohn,77,5000,Media & Entertainment,Germany,F
372,"Robert Rich, Jr.",77,5000,Food & Beverage,United States,M
372,Wang Chuanfu,52,5000,Automotive,China,M
382,Maria Fernanda Amorim,83,5000,Diversified,Portugal,F
382,Pyotr Aven,62,5000,Energy,Russia,M
382,Bernard Marcus,88,5000,Fashion & Retail,United States,M
382,Pedro Moreira Salles,58,5000,Diversified,Brazil,M
382,Frederick Smith,73,5000,Logistics,United States,M
382,Ronda Stryker,63,5000,Healthcare,United States,F
388,Richard Branson,67,5000,Diversified,United Kingdom,M
388,Subhash Chandra,67,5000,Media & Entertainment,India,M
388,Denise Coates,50,5000,Gambling & Casinos,United Kingdom,F
388,Martha Ingram,82,5000,Media & Entertainment,United States,F
388,Law Kar Po,69,5000,Real Estate,Hong Kong,M
388,Joe Lewis,81,5000,Finance & Investments,United Kingdom,M
388,Gabriella Meister,69,5000,Manufacturing,Germany,F
388,Fernando Roberto Moreira Salles,71,5000,Diversified,Brazil,M
388,Joao Moreira Salles,56,5000,Diversified,Brazil,M
388,Walther Moreira Salles Junior,61,5000,Finance & Investments,Brazil,M
388,Pankaj Patel,64,5000,Healthcare,India,M
388,Karen Pritzker,60,5000,Service,United States,F
388,Thomas Schmidheiny,72,5000,Construction & Engineering,Switzerland,M
388,Vichai Srivaddhanaprabha,60,5000,Fashion & Retail,Thailand,M
388,Keiichiro Takahara,86,5000,Manufacturing,Japan,M
388,M.A. Yusuff Ali,62,5000,Fashion & Retail,India,M
404,Robert Bass,69,4000,Energy,United States,M
404,Marc Benioff,53,4000,Technology,United States,M
404,Chung Mong-Koo,79,4000,Automotive,South Korea,M
404,Charles Dolan,91,4000,Media & Entertainment,United States,M
404,Ray Lee Hunt,74,4000,Energy,United States,M
404,Liu Yonghao,66,4000,Service,China,M
404,John Overdeck,48,4000,Finance & Investments,United States,M
404,Ajay Piramal,62,4000,Healthcare,India,M
404,"Enrique Razon, Jr.",58,4000,Logistics,Philippines,M
404,Sumner Redstone,94,4000,Media & Entertainment,United States,M
404,Reinhold Schmieding,63,4000,Healthcare,United States,M
404,David Siegel,56,4000,Finance & Investments,United States,M
404,Andrei Skoch,52,4000,Metals & Mining,Russia,M
404,Yu Yong,57,4000,Finance & Investments,China,M
404,Sam Zell,76,4000,Real Estate,United States,M
404,Zhou Jianping,57,4000,Fashion & Retail,China,M
422,Garrett Camp,39,4000,Technology,Canada,M
422,Bubba Cathy,63,4000,Food & Beverage,United States,M
422,Dan Cathy,65,4000,Food & Beverage,United States,M
422,Fu Liquan,50,4000,Technology,China,M
422,Mikhail Gutseriev,60,4000,Energy,Russia,M
422,"Rupert Johnson, Jr.",77,4000,Finance & Investments,United States,M
422,Travis Kalanick,41,4000,Technology,United States,M
422,Andrei Kozitsyn,57,4000,Metals & Mining,Russia,M
422,Horst Paulmann,83,4000,Fashion & Retail,Chile,M
422,Julio Ponce Lerou,72,4000,Metals & Mining,Chile,M
422,Trevor Rees-Jones,66,4000,Energy,United States,M
422,Mark Scheinberg,44,4000,Gambling & Casinos,Canada,M
422,Jeffrey Skoll,53,4000,Technology,United States,M
422,Murat Ulker,58,4000,Food & Beverage,Turkey,M
422,Daniel Ziff,46,4000,Finance & Investments,United States,M
422,Dirk Ziff,53,4000,Finance & Investments,United States,M
422,Robert Ziff,51,4000,Finance & Investments,United States,M
441,Juergen Blickle,71,4000,Manufacturing,Germany,M
441,Bernard Broermann,74,4000,Healthcare,Germany,M
441,Clive Calder,71,4000,Media & Entertainment,United Kingdom,M
441,Stanley Druckenmiller,64,4000,Finance & Investments,United States,M
441,Ted Lerner,92,4000,Real Estate,United States,M
441,Li Shuirong,61,4000,Manufacturing,China,M
441,Lim Kok Thay,66,4000,Gambling & Casinos,Malaysia,M
441,Niels Peter Louis-Hansen,70,4000,Healthcare,Denmark,M
441,Fredrik Lundberg,66,4000,Real Estate,Sweden,M
441,Gwendolyn Sontheim Meyer,56,4000,Food & Beverage,United States,F
441,J. Christopher Reyes,64,4000,Food & Beverage,United States,M
441,Jude Reyes,62,4000,Food & Beverage,United States,M
441,Alexandra Schoerghuber,59,4000,Real Estate,Germany,F
441,Sheldon Solow,89,4000,Real Estate,United States,M
441,Lucio Tan,83,4000,Diversified,Philippines,M
456,Andrej Babis,63,4000,Food & Beverage,Czech Republic,M
456,Dona Bertarelli,50,4000,Diversified,Switzerland,F
456,Cai Kui,55,4000,Real Estate,China,M
456,Bidzina Ivanishvili,62,4000,Finance & Investments,Georgia,M
456,"Jeremy Jacobs, Sr.",78,4000,Service,United States,M
456,Chris Larsen,57,4000,Finance & Investments,United States,M
456,Patrick Lee,75,4000,Manufacturing,Hong Kong,M
456,Liang Wengen,61,4000,Manufacturing,China,M
456,Denis O'Brien,59,4000,Telecom,Ireland,M
466,Jean-Pierre Cayard,75,4000,Food & Beverage,France,M
466,Chey Tae-Won,57,4000,Telecom,South Korea,M
466,Fang Wei,44,4000,Manufacturing,China,M
466,Andrei Guriev,57,4000,Manufacturing,Russia,M
466,Bertil Hult,77,4000,Service,Sweden,M
466,Ji Changqun,50,4000,Real Estate,China,M
466,"Paul Tudor Jones, II.",63,4000,Finance & Investments,United States,M
466,Robert Miller,84,4000,Fashion & Retail,United Kingdom,M
466,Sergei Popov,46,4000,Finance & Investments,Russia,M
466,Juan Roig,68,4000,Fashion & Retail,Spain,M
466,John Sall,69,4000,Technology,United States,M
466,Leonard Stern,79,4000,Real Estate,United States,M
466,Ye Chenghai,74,4000,Healthcare,Hong Kong,M
480,Anthony Bamford,72,4000,Construction & Engineering,United Kingdom,M
480,Chu Mang Yee,58,4000,Real Estate,China,M
480,Juan Carlos Escotet,58,4000,Finance & Investments,Venezuela,M
480,Miguel Fluxa Rossello,79,4000,Service,Spain,M
480,Andrew Forrest,56,4000,Metals & Mining,Australia,M
480,Paul Gauselmann,83,4000,Gambling & Casinos,Germany,M
480,Tamara Gustavson,56,4000,Service,United States,F
480,Micky Jagtiani,66,4000,Fashion & Retail,India,M
480,Johan Johannson,51,4000,Fashion & Retail,Norway,M
480,Richard Li,51,4000,Telecom,Hong Kong,M
480,John Morris,69,4000,Fashion & Retail,United States,M
480,Theo Mueller,78,4000,Food & Beverage,Germany,M
480,Akio Nitori,74,4000,Fashion & Retail,Japan,M
480,Wolfgang Reimann,65,4000,Fashion & Retail,Germany,M
480,Matthias Reimann-Andersen,52,4000,Fashion & Retail,Germany,M
480,Stefan Reimann-Andersen,54,4000,Fashion & Retail,Germany,M
480,Renate Reimann-Haas,66,4000,Fashion & Retail,Germany,F
480,Robert Smith,55,4000,Finance & Investments,United States,M
480,Russ Weiner,47,4000,Food & Beverage,United States,M
499,Jeronimo Arango,92,4000,Fashion & Retail,Mexico,M
499,Rahul Bajaj,79,4000,Automotive,India,M
499,Rainer Blickle,70,4000,Manufacturing,Germany,M
499,Rocco Commisso,68,4000,Telecom,United States,M
499,Giuseppe De'Longhi,78,4000,Fashion & Retail,Italy,M
499,Tilman Fertitta,60,4000,Food & Beverage,United States,M
499,Nathan Kirsh,86,4000,Fashion & Retail,Swaziland,M
