rank,personName,age,finalWorth,category,country,gender_F,gender_M
267,Jean-Michel Besnier,54,8200,10,71,0,1
267,Marie Besnier Beauvalot,41,8200,10,71,1,0
267,Gustaf Douglas,84,8200,4,37,0,1
267,Kjeld Kirk Kristiansen,74,8200,3,70,0,1
267,Sofie Kirk Kristiansen,46,8200,3,70,1,0
267,Thomas Kirk Kristiansen,43,8200,3,70,0,1
267,Stephen Ross,81,8200,12,49,0,1
267,Agnete Kirk Thinggaard,38,8200,3,70,1,0
275,Marc Benioff,57,8100,2,49,0,1
275,Dmitri Bukhman,36,8100,1,35,0,1
275,Igor Bukhman,40,8100,1,35,0,1
275,Francis Choi,74,8100,12,17,0,1
275,Murali Divi & family,71,8100,7,56,0,1
275,Nancy Walton Laurie,70,8100,15,49,1,0
275,Georg Schaeffler,57,8100,6,66,0,1
275,Yao Liangsong,57,8100,3,34,0,1
275,Zhong Huijuan,61,8100,7,34,1,0
284,George Roberts,78,8000,0,49,0,1
284,Michael Rubin,49,8000,15,49,0,1
284,Patrick Ryan,84,8000,0,49,0,1
288,Christopher Hohn,55,7900,0,35,0,1
288,Marijke Mars,57,7900,10,49,1,0
288,Pamela Mars,61,7900,10,49,1,0
288,Valerie Mars,63,7900,10,49,1,0
288,Victoria Mars,65,7900,10,49,1,0
288,Hasso Plattner & family,78,7900,2,66,0,1
288,Georg Stumpf,49,7900,4,69,0,1
288,Christy Walton,73,7900,15,49,1,0
296,Giorgio Armani,87,7800,15,22,0,1
296,Gopikishan Damani,64,7800,15,56,0,1
296,Ding Shizhong & family,51,7800,15,34,0,1
296,Jim Kennedy,74,7800,1,49,0,1
296,German Khan,60,7800,13,35,0,1
296,Liang Wengen,65,7800,3,34,0,1
296,Blair Parry-Okeden,71,7800,1,54,1,0
296,Tsai Eng-meng,65,7800,10,34,0,1
304,Ashwin Dani & family,79,7700,3,56,0,1
304,Ding Shijia,58,7700,15,34,0,1
304,Karel Komarek,53,7700,11,24,0,1
304,Henry Kravis,78,7700,0,49,0,1
304,Frederik Paulsen,71,7700,7,24,0,1
304,Nassef Sawiris,61,7700,16,40,0,1
304,Xu Shihui,64,7700,10,34,0,1
313,Rahel Blocher,46,7600,3,24,1,0
313,Shahid Khan,71,7600,6,49,0,1
313,Magdalena Martullo-Blocher,53,7600,3,24,1,0
316,Vincent Bolloré & family,70,7500,0,71,0,1
316,Jeffery Hildebrand,63,7500,13,49,0,1
316,Michael Kim,58,7500,0,64,0,1
316,Richard Kinder,77,7500,13,49,0,1
316,David Shaw,71,7500,0,49,0,1
321,John Malone,81,7400,1,49,0,1
321,Vicky Safra,69,7400,0,24,1,0
321,Tim Sweeney,51,7400,1,49,0,1
324,Mike Adenuga,68,7300,4,46,0,1
324,David Green & family,80,7300,15,49,0,1
324,"Paul Tudor Jones, II.",67,7300,0,49,0,1
324,Yuri Milner,60,7300,0,49,0,1
324,Henry Samueli,67,7300,2,49,0,1
324,Patrick Soon-Shiong,69,7300,7,49,0,1
330,Antonia Ax:son Johnson & family,78,7200,4,37,1,0
330,Michael Kadoorie,80,7200,13,17,0,1
330,Lin Shu-hong,93,7200,3,63,0,1
330,Niels Peter Louis-Hansen,74,7200,7,70,0,1
330,Reinhold Schmieding,67,7200,7,49,0,1
330,Wee Cho Yaw,93,7200,0,52,0,1
336,Silvio Berlusconi & family,85,7100,4,22,0,1
336,Arthur Blank,79,7100,9,49,0,1
336,Qian Dongqi & family,64,7100,3,34,0,1
336,J. Christopher Reyes,68,7100,10,49,0,1
336,Jude Reyes,66,7100,10,49,0,1
336,Nik Storonsky,37,7100,0,35,0,1
336,Zhou Qunfei & family,52,7100,2,17,1,0
343,Deng Weiming & family,53,7000,3,34,0,1
343,Judy Faulkner,78,7000,2,49,1,0
343,Robin Li,53,7000,2,34,0,1
343,Carrie Perrodo & family,71,7000,13,35,1,0
343,David Reuben,83,7000,12,35,0,1
343,Simon Reuben,80,7000,4,30,0,1
343,Seo Jung-jin,64,7000,7,64,0,1
350,Roman Abramovich,55,6900,4,59,0,1
350,Micky Arison,72,6900,8,49,0,1
350,Edythe Broad & family,86,6900,4,49,1,0
350,Terry Gou,71,6900,2,63,0,1
350,Jiang Bin,55,6900,2,34,0,1
350,Vinod Khosla,67,6900,2,49,0,1
350,Ralph Lauren,82,6900,15,49,0,1
350,Douglas Leone,64,6900,0,49,0,1
350,Lucia Maggi & family,89,6900,4,23,1,0
350,Horst Julius Pudwill,77,6900,3,17,0,1
350,Abdulsamad Rabiu,61,6900,4,46,0,1
350,Harry Stine,80,6900,10,49,0,1
350,Dennis Washington,87,6900,5,49,0,1
363,Hasmukh Chudgar & family,88,6800,7,56,0,1
363,Stanley Druckenmiller,68,6800,0,49,0,1
363,Jonathan Gray,52,6800,0,49,0,1
363,Kwon Hyuk-bin,48,6800,2,64,0,1
363,Frank Lowy,91,6800,12,11,0,1
363,Ronda Stryker,67,6800,7,49,1,0
369,Benu Gopal Bangur,90,6700,3,56,0,1
369,James Goodnight,79,6700,2,49,0,1
369,Alain Merieux & family,84,6700,7,71,0,1
369,Enrique Razon Jr.,62,6700,5,47,0,1
369,Robert F. Smith,59,6700,0,49,0,1
375,Brian Armstrong,39,6600,0,49,0,1
375,Dannine Avara,58,6600,13,49,1,0
375,Patrick Drahi,58,6600,17,24,0,1
375,Scott Duncan,39,6600,13,49,0,1
375,Milane Frantz,52,6600,13,49,1,0
375,Andreas Halvorsen,60,6600,0,49,0,1
375,Law Kar Po,73,6600,12,17,0,1
375,Nicolas Puech,79,6600,15,24,0,1
375,Viktor Rashnikov,73,6600,3,59,0,1
375,Dmitry Rybolovlev,55,6600,3,30,0,1
375,Randa Duncan Williams,60,6600,13,49,1,0
386,Chen Jianhua,51,6500,3,34,0,1
386,John Grayken,65,6500,0,35,0,1
386,Ray Lee Hunt,78,6500,13,49,0,1
386,Philippe Laffont,54,6500,0,49,0,1
386,"Henry Nicholas, III.",62,6500,2,49,0,1
386,Axel Oberwelland & siblings,55,6500,10,66,0,1
386,Cliff Obrecht,36,6500,2,54,0,1
386,John Overdeck,52,6500,0,49,0,1
386,Melanie Perkins,34,6500,2,54,1,0
386,Ruan Hongliang & family,61,6500,3,34,0,1
386,David Siegel,60,6500,0,49,0,1
386,David Velez,40,6500,0,23,0,1
398,Juergen Blickle,75,6400,3,66,0,1
398,Cheng Xue,52,6400,10,34,1,0
398,Jack Dangermond,76,6400,2,49,0,1
